ts,iso_ts,symbol,interval,open,high,low,close,volume
1761501540000,2025-10-26T17:59:00+00:00,BTCUSDT,1m,113453.47,113453.47,113453.46,113453.46,0.03743
1761501540000,2025-10-26T17:59:00+00:00,ETHUSDT,1m,4060.54,4060.54,4060.01,4060.01,19.564
1761501600000,2025-10-26T18:00:00+00:00,BTCUSDT,1m,113442.14,113442.14,113442.13,113442.14,0.04525
1761501600000,2025-10-26T18:00:00+00:00,ETHUSDT,1m,4059.43,4059.44,4059.43,4059.43,0.8681
1762214640000,2025-11-04T00:04:00+00:00,BTCUSDT,1m,106446.51,106446.51,106446.5,106446.5,0.00486
1762214580000,2025-11-04T00:03:00+00:00,ETHUSDT,1m,3597.34,3599.32,3597.34,3597.71,250.0751
1762214700000,2025-11-04T00:05:00+00:00,BTCUSDT,1m,106515.06,106516.46,106515.06,106515.07,0.06964
1762214640000,2025-11-04T00:04:00+00:00,ETHUSDT,1m,3597.7,3600.35,3597.34,3597.35,153.4247
1762219740000,2025-11-04T01:29:00+00:00,BTCUSDT,1m,106826.42,106826.42,106826.42,106826.42,7e-05
1762219680000,2025-11-04T01:28:00+00:00,ETHUSDT,1m,3630.5,3630.5,3626.31,3626.31,317.1117
1762219800000,2025-11-04T01:30:00+00:00,BTCUSDT,1m,106898.42,106912.49,106898.42,106912.49,0.71187
1762219740000,2025-11-04T01:29:00+00:00,ETHUSDT,1m,3626.33,3629.53,3626.33,3629.37,147.1477
1762219860000,2025-11-04T01:31:00+00:00,BTCUSDT,1m,107013.34,107013.34,107013.34,107013.34,0.0
1762219800000,2025-11-04T01:30:00+00:00,ETHUSDT,1m,3629.39,3634.7,3628.61,3631.94,332.7649
1762219920000,2025-11-04T01:32:00+00:00,BTCUSDT,1m,106964.46,106964.46,106964.46,106964.46,0.0
1762219860000,2025-11-04T01:31:00+00:00,ETHUSDT,1m,3631.74,3631.74,3627.24,3629.25,177.4733
1762219980000,2025-11-04T01:33:00+00:00,BTCUSDT,1m,107000.01,107000.01,107000.01,107000.01,0.0
1762219920000,2025-11-04T01:32:00+00:00,ETHUSDT,1m,3629.25,3634.95,3629.25,3634.27,225.706
1762220040000,2025-11-04T01:34:00+00:00,BTCUSDT,1m,106999.1,106999.1,106995.51,106995.52,0.07601
1762219980000,2025-11-04T01:33:00+00:00,ETHUSDT,1m,3634.25,3636.92,3633.12,3636.56,259.4178
1762220100000,2025-11-04T01:35:00+00:00,BTCUSDT,1m,107097.22,107097.22,107097.21,107097.22,0.00479
1762220040000,2025-11-04T01:34:00+00:00,ETHUSDT,1m,3636.33,3640.87,3636.33,3640.41,603.5774
1762220160000,2025-11-04T01:36:00+00:00,BTCUSDT,1m,107062.55,107062.55,107062.55,107062.55,0.0
1762220100000,2025-11-04T01:35:00+00:00,ETHUSDT,1m,3640.41,3640.84,3635.68,3638.13,169.965
1762220220000,2025-11-04T01:37:00+00:00,BTCUSDT,1m,107084.25,107084.25,107084.25,107084.25,0.0
1762220220000,2025-11-04T01:37:00+00:00,ETHUSDT,1m,3640.61,3640.61,3640.61,3640.61,0.0
1762220280000,2025-11-04T01:38:00+00:00,BTCUSDT,1m,107038.52,107038.52,107038.52,107038.52,0.0
1762220220000,2025-11-04T01:37:00+00:00,ETHUSDT,1m,3640.6,3640.61,3638.1,3638.82,119.224
1762220340000,2025-11-04T01:39:00+00:00,BTCUSDT,1m,107212.04,107212.04,107212.03,107212.03,0.03448
1762220280000,2025-11-04T01:38:00+00:00,ETHUSDT,1m,3638.83,3652.22,3638.82,3649.34,1800.4868
1762220400000,2025-11-04T01:40:00+00:00,BTCUSDT,1m,107252.44,107252.44,107252.44,107252.44,0.0
1762220340000,2025-11-04T01:39:00+00:00,ETHUSDT,1m,3649.34,3654.54,3646.35,3648.33,1387.3698
1762220460000,2025-11-04T01:41:00+00:00,BTCUSDT,1m,107213.72,107213.72,107213.72,107213.72,8e-05
1762220400000,2025-11-04T01:40:00+00:00,ETHUSDT,1m,3648.33,3649.0,3645.36,3647.01,519.5255
1762220520000,2025-11-04T01:42:00+00:00,BTCUSDT,1m,107155.57,107155.57,107155.57,107155.57,0.00031
1762220460000,2025-11-04T01:41:00+00:00,ETHUSDT,1m,3647.01,3647.01,3643.45,3645.23,429.3564
1762220580000,2025-11-04T01:43:00+00:00,BTCUSDT,1m,107170.6,107170.6,107160.22,107160.23,0.29291
1762220520000,2025-11-04T01:42:00+00:00,ETHUSDT,1m,3645.23,3646.5,3644.86,3644.87,256.4278
1762220640000,2025-11-04T01:44:00+00:00,BTCUSDT,1m,107163.97,107163.97,107163.97,107163.97,0.0
1762220580000,2025-11-04T01:43:00+00:00,ETHUSDT,1m,3644.86,3646.11,3644.64,3645.22,60.3667
1762220700000,2025-11-04T01:45:00+00:00,BTCUSDT,1m,107125.43,107125.43,107125.43,107125.43,0.0
1762220700000,2025-11-04T01:45:00+00:00,ETHUSDT,1m,3643.44,3643.44,3643.44,3643.44,0.0
1762220760000,2025-11-04T01:46:00+00:00,BTCUSDT,1m,107116.52,107116.52,107116.52,107116.52,7e-05
1762220700000,2025-11-04T01:45:00+00:00,ETHUSDT,1m,3643.44,3644.49,3642.44,3642.44,229.2698
1762220820000,2025-11-04T01:47:00+00:00,BTCUSDT,1m,107116.98,107116.98,107116.98,107116.98,0.00499
1762220760000,2025-11-04T01:46:00+00:00,ETHUSDT,1m,3642.23,3644.44,3641.6,3642.35,253.1979
1762220880000,2025-11-04T01:48:00+00:00,BTCUSDT,1m,107033.14,107033.14,107033.14,107033.14,0.00626
1762220820000,2025-11-04T01:47:00+00:00,ETHUSDT,1m,3642.36,3643.42,3640.0,3640.01,173.2528
